"","translatedText","text"
"2266","Pernambuco","pernambucano"
"2267","samba","samba"
"2268","drums","tambores"
"2269","maranhão","maranhão"
"2270","baroque","barroco"
"2271","miner","mineiro"
"2272","brasilia","brasília"
"2273","music","música"
"2274","sertaneja","sertaneja"
"2275","extending","estendendo"
"2276","bow","arco"
"2277","multiplicity","multiplicidade"
"2278","cultures","culturas"
"2279","Paulo","paulo"
"2280","parana","paraná"
"2281","santa","santa"
"2282","Catherine","catarina"
"2283","Midwest","centrooeste"
"2284","speech","fala"
"2285","language","língua"
"2286","sharing","partilha"
"2287","feels","sente"
"2288","miscegenation","mestiçagem"
"2289","syncretism","sincretismo"
"2290","they imposed","impuseram"
"2291","giving","dando"
"2292","original","original"
"2293","Jews","judeus"
"2294","Arabs","árabes"
"2295","they talk","conversam"
"2296","migration","migração"
"2297","welcome","bemvinda"
"2298","assimilation","assimilação"
"2299","well, I want to","bemquerer"
"2300","migrant","migrante"
"2301","transforms","transforma"
"2302","created","criou"
"2303","sky","céu"
"2304","tropical","tropical"
"2305","internally","internamente"
"2306","find","acham"
"2307","engaged","engajados"
"2308","externally","externamente"
"2309","affirming","afirmando"
"2310","creative","criativa"
"2311","reflect","refletirá"
"2312","yearnings","anseios"
"2313","they expressed","expressaram"
"2314","diplomatic","diplomática"
"2315","oriented","orientada"
"2316","humanist","humanista"
"2317","advanced","avançadas"
"2318","productive","produtivos"
"2319","relationship","relacionamento"
"2320","should","deverá"
"2321","woman","mulher"
"2322","lifting","elevando"
"2323","worthy","dignos"
"2324","negotiations","negociações"
"2325","commercial","comerciais"
"2326","vital","vital"
"2327","shoulder strap","alca"
"2328","understandings","entendimentos"
"2329","european","européia"
"2330","will fight","combaterá"
"2331","will fight","lutará"
"2332","will treat","tratará"
"2333","fair","justas"
"2334","we will seek","buscaremos"
"2335","to eliminate","eliminar"
"2336","scandalous","escandalosos"
"2337","subsidies","subsídios"
"2338","agricultural","agrícolas"
"2339","harms","prejudicam"
"2340","benefits","vantagens"
"2341","comparative","comparativas"
"2342","equal","igual"
"2343","effort","empenho"
"2344","we will strive","esforçarnosemos"
"2345","to remove","remover"
"2346","unjustifiable","injustificáveis"
"2347","exports","exportações"
"2348","industrial","industriais"
"2349","essential","essencial"
"2350","spaces","espaços"
"2351","flexibility","flexibilidade"
"2352","agricultural","agrícola"
"2353","industrial","industrial"
"2354","we will lose","perderemos"
"2355","recipient","destinatário"
"2356","last","último"
"2357","it will cost","valerá"
"2358","to participate","participarmos"
"2359","broad","amplo"
"2360","fronts","frentes"
"2361","so","daí"
"2362","will happen","decorrerem"
"2363","direct","diretos"
"2364","will be","estaremos"
"2365","mere","meras"
"2366","reductions","reduções"
"2367","tariff","tarifárias"
"2368","encompass","englobam"
"2369","spectrum","espectro"
"2370","normative","normativo"
"2371","create","criem"
"2372","restrictions","restrições"
"2373","unacceptable","inaceitáveis"
"2374","sovereign","soberano"
"2375","priority","prioridade"
"2376","during","durante"
"2377","politically","politicamente"
"2378","prosperous","próspera"
"2379","united","unida"
"2380","ideals","ideais"
"2381","democratic","democráticos"
"2382","decided","decidida"
"2383","weakened","enfraquecido"
"2384","visions","visões"
"2385","narrow","estreitas"
"2386","selfish","egoístas"
"2387","rests","repousa"
"2388","foundations","alicerces"
"2389","economic commercial","econômicocomerciais"
"2390","urgently","urgentemente"
"2391","repaired","reparados"
"2392","reinforced","reforçados"
"2393","we will take care","cuidaremos"
"2394","dimensions","dimensões"
"2395","scientific-technological","científicotecnológica"
"2396","we will stimulate","estimularemos"
"2397","enterprises","empreendimentos"
"2398","sets","conjuntos"
"2399","we will encourage","fomentaremos"
"2400","alive","vivo"
"2401","exchange","intercâmbio"
"2402","intellectual","intelectual"
"2403","artistic","artístico"
"2404","South Americans","sulamericanos"
"2405","we will support","apoiaremos"
"2406","arrangements","arranjos"
"2407","institutional","institucionais"
"2408","neighbors","vizinhos"
"2409","difficult","difíceis"
"2410","we will contribute","contribuiremos"
"2411","called","chamados"
"2412","measure","medida"
"2413","possibilities","possibilidades"
"2414","solutions","soluções"
"2415","peaceful","pacíficas"
"2416","such","tais"
"2417","precepts","preceitos"
"2418","concrete","concreta"
"2419","dialogues","diálogos"
"2420","nouns","substantivos"
"2421","latina","latina"
"2422","we will seek","procuraremos"
"2423","mature","madura"
"2424","reciprocal","recíproco"
"2425","mutual","mútuo"
"2426","we will try","trataremos"
"2427","understanding","entendimento"
"2428","member states","estadosmembros"
"2429","deepen","aprofundaremos"
"2430","we reaffirm","reafirmamos"
"2431","unite","unem"
"2432","actively","ativamente"
"2433","develop","desenvolva"
"2434","huge","enormes"
"2435","potentialities","potencialidades"
"2436","we aim","visamos"
"2437","potential","potenciais"
"2438","encourage","estimular"
"2439","incipient","incipientes"
"2440","multipolarity","multipolaridade"
"2441","contemporary","contemporânea"
"2442","democratization","democratização"
"2443","hegemony","hegemonias"
"2444","species","espécie"
"2445","humanity","humanidade"
"2446","consolidation","consolidação"
"2447","interior","interior"
"2448","multilateral","multilaterais"
"2449","united","unidas"
"2450","fits","cabe"
"2451","primacy","primazia"
"2452","preservation","preservação"
"2453","resolutions","resoluções"
"2454","should","devem"
"2455","faithfully","fielmente"
"2456","fulfilled","cumpridas"
"2457","orient","oriente"
"2458","resolved","resolvidas"
"2459","peaceful","pacíficos"
"2460","we will defend","defenderemos"
"2461","retired","reformado"
"2462","representative","representativo"
"2463","terrorism","terrorismo"
"2464","crime","crime"
"2465","organized","organizado"
"2466","worth","valendo"
"2467","Principles","princípios"
"2468","UN","onu"
"2469","agencies","agências"
"2470","agile","ágeis"
"2471","effective","eficazes"
"2472","promotion","promoção"
"2473","discrimination","discriminação"
"2474","democratically","democraticamente"
"2475","too much","demais"
"2476","novelty","novidade"
"2477","civilization","civilização"
"2478","drew","desenhou"
"2479","fear","temor"
"2480","body","corpo"
"2481","soul","alma"
"2482","default","revelia"
"2483","elites","elites"
"2484","deterioration","deterioração"
"2485","decades","décadas"
"2486","due","decorrente"
"2487","economic","econômicas"
"2488","favored","favoreceram"
"2489","brought","trouxe"
"2490","a cloud","nuvem"
"2491","threatening","ameaçadora"
"2492","pattern","padrão"
"2493","tolerant","tolerante"
"2494","crimes","crimes"
"2495","hideous","hediondos"
"2496","lynchings","linchamentos"
"2497","crisp","crisparam"
"2498","made","fizeram"
"2499","daily","cotidiano"
"2500","next","próxima"
"2501","war","guerra"
"2502","start","inicio"
"2503","decision","decisão"
"2504","vigorous","vigorosa"
"2505","combined","combinada"
"2506","to prevent","prevenir"
"2507","repress","reprimir"
"2508","reestablish","restabelecer"
"2509","to get","conseguirmos"
"2510","squares","praças"
"2511","we will give","daremos"
"2512","impulse","impulso"
"2513","corner","rincão"
"2514","bastion","bastião"
"2515","tolerance","tolerância"
"2516","pluralism","pluralismo"
"2517","socializing","convívio"
"2518","respectful","respeitoso"
"2519","we think","pensamos"
"2520","we express","expressamos"
"2521","we comply","cumprimos"
"2522","planetary","planetária"
"2523","endeavor","empreitada"
"2524","historical","histórica"
"2525","think","pensar"
"2526","legs","pernas"
"2527","love","amar"
"2528","flag","bandeira"
"2529","We did","fizemos"
"2530","eye","olho"
"2531","retreating","retirante"
"2532","northeastern","nordestino"
"2533","boy","menino"
"2534","sold","vendia"
"2535","peanut","amendoim"
"2536","orange","laranja"
"2537","pier","cais"
"2538","saints","santos"
"2539","became","tornou"
"2540","turner","torneiro"
"2541","mechanical","mecânico"
"2542","leader","líder"
"2543","union","sindical"
"2544","founded","fundou"
"2545","believed","acreditou"
"2546","station","posto"
"2547","agent","mandatário"
"2548","clarity","clareza"
"2549","enough","basta"
"2550","chapter","capítulo"
"2551","submissive","submissa"
"2552","Opening","abrindo"
"2553","unjust","injusta"
"2554","watching","assistindo"
"2555","passively","passivamente"
"2556","suffering","sofrimento"
"2557","haughty","altiva"
"2558","noble","nobre"
"2559","courageously","corajosamente"
"2560","ethnicity","etnia"
"2561","sex","sexo"
"2562","power","potência"
"2563","structure","estrutura"
"2564","urban","urbana"
"2565","fantastic","fantástica"
"2566","biodiversity","biodiversidade"
"2567","nature","natureza"
"2568","heat","calor"
"2569","invention","invenção"
"2570","gifts","dons"
"2571","living","vivendo"
"2572","companions","companheiras"
"2573","brothers","irmãos"
"2574","sisters","irmãs"
"2575","summed up","resumido"
"2576","few","poucas"
"2577","words","palavras"
"2578","reencounter","reencontro"
"2579","God","deus"
"2580","to arrive","chegar"
"2581","where","aonde"
"2582","I arrived","cheguei"
"2583","server","servidor"
"2584","discernment","discernimento"
"2585","to judge","julgar"
"2586","to administer","administrar"
"2587","size","tamanho"
"2588","to feel","sentir"
"2589","united","unido"
"2590","day day","diadia"
"2591","next","próximos"
"2592","alive","viva"
"2593","emotion","emoção"
"2594","I upload","subo"
"2595","parlatory","parlatório"
"2596","talk","conversar"
"2597","I receive","recebo"
"2598","blessing","bênção"
"2599","going out","saindo"
"2600","leaves","saí"
"2601","can","posso"
"2602","higher","superior"
"2603","decide","decide"
"2604","destinations","destinos"
"2605","forever","eternamente"
"2606","thankful","grato"
"2607","behavior","comportamento"
"2608","imagined","imaginavam"
"2609","game","jogo"
"2610","finished","acabado"
"2611","entered","entrava"
"2612","said","dizia"
"2613","clearly","claramente"
"2614","cost","custe"
"2615","to cost","custar"
"2616","donates","doa"
"2617","hurt","doer"
"2618","deep","profundamente"
"2619","we found","encontrássemos"
"2620","origins","origens"
"2621","walked","trilhou"
"2622","I walked","trilhei"
"2623","turned","transformou"
"2624","businessman","empresário"
"2625","I transformed","transformei"
"2626","wanted","quis"
"2627","beautiful","belo"
"2628","found","encontrasse"
"2629","I heard","ouvi"
"2630","over there","lá"
"2631","found","encontrado"
"2632","way","jeito"
"2633","unify","unificar"
"2634","vice presidency","vicepresidência"
"2635","conquered","conquistado"
"2636","vice","vice"
"2637","loyalty","lealdade"
"2638","companionship","companheirismo"
"2639","understanding","compreensão"
"2640","owner","dona"
"2641","Marisa","marisa"
"2642","Leticia","letícia"
"2643","with me","comigo"
"2644","bad","maus"
"2645","grateful","gratos"
"2646","mariza","mariza"
"2647","wife","esposa"
"2648","shoulder","ombro"
"2649","solace","consolo"
"2650","claim","afirmar"
"2651","compensates","compensa"
"2652","suffered","sofrido"
"2653","conquering","conquistando"
"2654","helped","ajudaram"
"2655","radicalized","radicalizado"
"2656","disturbed","atrapalhasse"
"2657","voted","votadas"
"2658","we got","conseguimos"
"2659","to approve","aprovar"
"2660","virtually","praticamente"
"2661","sent","mandou"
"2662","plurality","pluralidade"
"2663","Helping","ajudando"
"2664","continues","continue"
"2665","growing","crescendo"
"2666","to thank","agradecer"
"2667","win","conquistar"
"2668","we tried","tentávamos"
"2669","we got","conseguíamos"
"2670","remember","lembro"
"2671","leader","dirigente"
"2672","log in","entrar"
"2673","palace","palácio"
"2674","they conquered","conquistaram"
"2675","agreements","acordos"
"2676","salaries","salariais"
"2677","were doing","faziam"
"2678","30","30"
"2679","normally","normalmente"
"2680","palaces","palácios"
"2681","presidential","presidenciais"
"2682","made","feitos"
"2683","conception","concepção"
"2684","love","rainhas"
"2685","kings","reis"
"2686","princes","príncipes"
"2687","small","pequenos"
"2688","middle","médios"
"2689","governors","governadores"
"2690","habituate","habituar"
"2691","tasting","catando"
"2692","we play","jogamos"
"2693","painful","penoso"
"2694","marginalized","marginalizadas"
"2695","they can","conseguem"
"2696","pass","passar"
"2697","in him","nele"
"2698","We do","fazemos"
"2699","productive","produtiva"
"2700","participating","participando"
"2701","conferences","conferências"
"2702","listening","ouvindo"
"2703","ruler","governante"
"2704","learn","aprende"
"2705","err","errar"
"2706","to hit","acertar"
"2707","governing","governando"
"2708","I learned","aprendi"
"2709","divine","divina"
"2710","mouth","boca"
"2711","ears","ouvidos"
"2712","to listen","escutar"
"2713","allow","permitem"
"2714","treat them","tratálos"
"2715","compensators","compensadores"
"2716","notion","noção"
"2717","equanimity","equânime"
"2718","to study","estudar"
"2719","recreation","lazer"
"2720","to draw","tirar"
"2721","vacation","férias"
"2722","to dream","sonhar"
"2723","son","filho"
"2724","rich","rico"
"2725","to respect","respeitar"
"2726","mistaken","enganado"
"2727","see","vê"
"2728","close","próximas"
"2729","they disappear","desaparecerem"
"2730","started","comecei"
"2731","1969","1969"
"2732","none","nenhum"
"2733","assuming","assumindo"
"2734","we work","trabalhamos"
"2735","We know","conhecemos"
"2736","stones","pedras"
"2737","they jam","emperram"
"2738","unlock","destravar"
"2739","formal","formais"
"2740","Wallet","carteira"
"2741","signed","assinada"
"2742","there","aí"
"2743","qualified","qualificado"
"2744","Monday","segundafeira"
"2745","rainy","chuvosa"
"2746","unfortunately","lamentavelmente"
"2747","got","conseguiu"
"2748","being","sendo"
"2749","1 st","1º"
"2750","could","poderia"
"2751","Friday","sextafeira"
"2752","party","festa"
"2753","look","olhar"
"2754","we assume","assumimos"
"2755","treated","tratada"
"2756","creed","credo"
"2757","religious","religioso"
"2758","to worry","preocupar"
"2759","source","origem"
"2760","deceive","enganem"
"2761","I will continue","continuarei"
"2762","mom","mãe"
"2763","those","daqueles"
"2764","needy","necessitados"
"2765","weakened","fragilizados"
"2766","stop","parar"
"2767","saying","dizendo"
"2768","go down","descer"
"2769","hug","abraço"
"2770","will launch","lançaremos"
"2771","package","pacote"
"2772","discussed","discutido"
"2773","create","crie"
"2774","optimism","otimismo"
"2775","bet on","apostarem"
"2776","defeated","derrotados"
"2777","believe in","acreditarem"
"2778","was born","nasceu"
"2779","inhibited","inibido"
"2780","Eternal","eterno"
"2781","begin","começar"
"2782","prepare","preparar"
"2783","time","época"
"2784","grew","crescia"
"2785","I was still","continuava"
"2786","distributed","distribuía"
"2787","concomitant","concomitante"
"2788","industry","indústria"
"2789","It happened","aconteceu"
"2790","week","semana"
"2791","last","passada"
"2792","degradation","degradação"
"2793","caused","causada"
"2794","loss","perda"
"2795","resolved","resolvidos"
"2796","Foundation","alicerce"
"2797","strong","pujante"
"2798","breakdown","desagregação"
"2799","stay","ficar"
"2800","police","polícia"
"2801","solve","resolver"
"2802","blaming","culpando"
"2803","mayor","prefeito"
"2804","happening","acontecendo"
"2805","accumulated","acumulados"
"2806","to assume","assumir"
"2807","counties","municípios"
"2808","solution","solução"
"2809","none","nenhuma"
"2810","condone","compactuar"
"2811","barbarity","barbaridade"
"2812","foolish","facínoras"
"2813","I wanted","queria"
"2814","enjoy","aproveitar"
"2815","governor","governador"
"2816","Sergio","sérgio"
"2817","cabral","cabral"
"2818","common","comum"
"2819","fought","combatido"
"2820","extrapolated","extrapolou"
"2821","banditry","banditismo"
"2822","conventional","convencional"
"2823","we knew","conhecíamos"
"2824","group","grupo"
"2825","jail","cadeia"
"2826","can","consegue"
"2827","orders","ordens"
"2828","of those","daquelas"
"2829","killing","matando"
"2830","innocent","inocentes"
"2831","state","estaduais"
"2832","terrorist","terrorista"
"2833","violent","violentas"
"2834","visa","visto"
"2835","fought","combatida"
"2836","free","livres"
"2837","honest","honestos"
"2838","leave","saírem"
"2839","to come back","voltarem"
"2840","evening","tarde"
"2841","sustenance","sustento"
"2842","allowed","permitindo"
"2843","restlessness","inquietação"
"2844","they exist","existirem"
"2845","happy","feliz"
"2846","to say","dizermos"
"2847","high","alto"
"2848","sound","som"
"2849","grow up","cresce"
"2850","dear","queridas"
"2851","michel","michel"
"2852","to fear","temer"
"2853","Mrs","senhora"
"2854","Marcela","marcela"
"2855","rare","raras"
"2856","first","primeira"
"2857","thrilled","emocionada"
"2858","closure","encerramento"
"2859","privilege","privilégio"
"2860","learned","aprendido"
"2861","keep","guardam"
"2862","squid","lula"
"2863","in love","apaixonado"
"2864","president","presidenta"
"2865","mixture","mistura"
"2866","with us","conosco"
"2867","distance","distância"
"2868","office","cargo"
"2869","such","tamanha"
"2870","succeed","suceder"
"2871","challenging","desafiadora"
"2872","I will know","saberei"
"2873","honor","honrar"
"2874","it took","levou"
"2875","factory worker","operário"
"2876","recorded","gravados"
"2877","eight","oito"
"2878","led","liderou"
"2879","these","dessas"
"2880","allowed","permitiu"
"2881","appreciation","valorização"
"2882","values","valoriza"
"2883","tribute","homenagem"
"2884","tireless","incansável"
"2885","fighter","lutador"
"2886","I mean","refiro"
"2887","Dear","querido"
"2888","ze","zé"
"2889","feel","sentimos"
"2890","responsible","responsáveis"
"2891","we learn","aprendemos"
"2892","governs","governa"
"2893","thinking","pensando"
"2894","sprouts","brota"
"2895","loving","amando"
"2896","preserving","preservando"
"2897","developing","desenvolvendo"
"2898","make it","tornálo"
"2899","mobilized","mobilizada"
"2900","I reaffirm","reafirmo"
"2901","affection","carinho"
"2902","fragile","frágeis"
"2903","will rule","governarei"
"2904","Indian","indiana"
"2905","to exchange","trocar"
"2906","squeeze","aperto"
"2907","fists","punhos"
"2908","closed","fechados"
"2909","open","abertas"
"2910","extended","estendidas"
"2911","allies","aliados"
"2912","accompanied","acompanharam"
"2913","I will work","trabalharei"
"2914","abdicate","abdique"
"2915","convictions","convicções"
"2916","will look","buscarei"
"2917","I will respect","respeitarei"
"2918","clash","embate"
"2919","civilized","civilizado"
"2920","I carry","carrego"
"2921","resentment","ressentimento"
"2922","grudge","rancor"
"2923","darkness","escuridão"
"2924","we pay","pagamos"
"2925","fell over","tombaram"
"2926","eternal","eterna"
"2927","memory","lembrança"
"2928","future","futuras"
"2929","finally","enfim"
"2930","to offer","oferecer"
"2931","builds","constrói"
"2932","erect","ergue"
"2933","I presented","apresentei"
"2934","there","ali"
"2935","exist","existem"
"2936","goals","metas"
"2937","think","acho"
"2938","chasing after","perseguilos"
"2939","impossible","impossível"
"2940","to stalk","perseguir"
"2941","exactly","exatamente"
"2942","break up","romper"
"2943","limit","limite"
"2944","possible","possível"
"2945","recent","recentes"
"2946","I will need","precisarei"
"2947","ask","pedir"
"2948","east","leste"
"2949","west","oeste"
"2950","north","norte"
"2951","work","trabalham"
"2952","solitude","solidão"
"2953","amazon","amazonas"
"2954","corners","rincões"
"2955","northeast","nordeste"
"2956","immensity","imensidão"
"2957","thick","cerrado"
"2958","vastness","vastidão"
"2959","pampas","pampas"
"2960","we work","trabalharmos"
"2961","will return","devolverá"
"2962","double","dobro"
"2963","generous","generosa"
"2964","planted","plantado"
"2965","loving","carinhosas"
"2966","harvested","colhido"
"2967","abundance","abundância"
"2968","Bless","abençoe"
"2969","we can","possamos"
"2970","will give","darei"
"2971","keep going","prossigam"
"2972","expand","expandam"
"2973","Renan","renan"
"2974","calheiros","calheiros"
"2975","Henrique","henrique"
"2976","alves","alves"
"2977","vicerefes","vicechefes"
"2978","honor","honram"
"2979","attendance","presenças"
"2980","Ricardo","ricardo"
"2981","lewandowski","lewandowski"
"2982","ambassadors","embaixadores"
"2983","accredited","acreditados"
"2984","federal","federais"
"2985","back","volto"
"2986","full","cheia"
"2987","expired","vencido"
"2988","honored","honrado"
"2989","warriors","guerreiras"
"2990","anonymous","anônimas"
"2991","Return","voltam"
"2992","incarnated","encarnadas"
"2993","figure","figura"
"2994","incarnate","encarno"
"2995","collective","coletiva"
"2996","broad","amplia"
"2997","holder","detentor"
"2998","triumphed","triunfou"
"2999","remains","permanece"
"3000","due","devido"
"3001","understood","entendeu"
"3002","collective","coletivo"
"3003","experienced","vivenciou"
"3004","tragedy","tragédia"
"3005","we rescued","resgatamos"
"3006","36","36"
"3007","extreme","extrema"
"3008","22","22"
"3009","ascended","ascenderam"
"3010","classes","classes"
"3011","salary","salários"
"3012","valued","valorizaram"
"3013","force","vigor"
"3014","have become","tornaram"
"3015","owners","donos"
"3016","houses","casas"
"3017","technician","técnico"
"3018","lived","viveu"
"3019","strengthened","fortalecidas"
"3020","respected","respeitadas"
"3021","found out","apurou"
"3022","punished","puniu"
"3023","huge","enorme"
"3024","excluded","excluídas"
"3025","insured","assegurados"
"3026","to educate","educar"
"3027","respect","respeitam"
"3028","strive","esforçam"
"3029","protect her","protegêla"
"3030","we stayed","ficássemos"
"3031","understood","compreendeu"
"3032","limitations","limitações"
"3033","imposed","impôs"
"3034","concluded","concluiu"
"3035","message","recado"
"3036","recognition","reconhecimento"
"3037","repeated","repetida"
"3038","theme","tema"
"3039","invoked","invocado"
"3040","solemnity","solenidade"
"3041","reconducted","reconduzida"
"3042","I will betray","trairei"
"3043","called","chamado"
"3044","fearlessness","destemor"
"3045","reaffirmation","reafirmação"
"3046","Opening","inauguração"
"3047","stage","etapa"
"3048","I do","faço"
"3049","renew","renovar"
"3050","obstinate","obstinada"
"3051","individual","individuais"
"3052","reached","alcançou"
"3053","we overcome","superamos"
"3054","beginning","começo"
"3055","improve","melhorar"
"3056","correct","corrigir"
"3057","instead","invés"
"3058","need","precisar"
"3059","we will overcome","venceremos"
"3060","types","tipos"
"3061","reach","alcance"
"3062","to stare","encarar"
"3063","alone","sozinha"
"3064","tale","conto"
"3065","partner","parceiro"
"3066","hours","horas"
"3067","judiciary","judiciário"
"3068","ally","aliada"
"3069","partisan","partidária"
"3070","they will be","estarão"
"3071","Working","trabalhando"
"3072","militant","militante"
"3073","pt","pt"
"3074","militancy","militância"
"3075","represented","representados"
"3076","highlighted","destacado"
"3077","Luiz","luiz"
"3078","inacio","inácio"
"3079","silva","silva"
"3080","willing","disposta"
"3081","Sprint","arrancada"
"3082","we prove","provamos"
"3083","to distribute","distribuir"
"3084","prove","provar"
"3085","settings","ajustes"
"3086","revoke","revogar"
"3087","conquered","conquistados"
"3088","to betray","trair"
"3089","assumed","assumidos"
"3090","make","fazermos"
"3091","surprised","surpreenderam"
"3092","possible","eventuais"
"3093","distortions","distorções"
"3094","make them","tornálas"
"3095","unavailable","inadiável"
"3096","we will implant","implantarmos"
"3097","stylish","modernas"
"3098","ethical","éticas"
"3099","healthy","saudáveis"
"3100","urgent","urgente"
"3101","constitutional","constitucional"
"3102","methods","métodos"
"3103","stimulate","estimule"
"3104","resume","retomar"
"3105","taste","gosto"
"3106","admiration","admiração"
"3107","solemn","solene"
"3108","detail","detalhe"
"3109","concrete","concretas"
"3110","to guide","nortear"
"3111","depend","dependem"
"3112","i oriented","orientei"
"3113","centrality","centralidade"
"3114","subject","disciplina"
"3115","need","necessidade"
"3116","instability","instabilidade"
"3117","uncertainty","incerteza"
"3118","fundamentals","fundamentos"
"3119","economic","econômicos"
"3120","positive","positivos"
"3121","remained","permaneceu"
"3122","ceiling","teto"
"3123","goal","meta"
"3124","celebrate","comemorar"
"3125","7th","7ª"
"3126","2º","2º"
"3127","producer","produtor"
"3128","exporter","exportador"
"3129","3rd","3º"
"3130","ores","minérios"
"3131","5th","5º"
"3132","attracts","atrai"
"3133","7th","7º"
"3134","accumulation","acúmulo"
"3135","reservations","reservas"
"3136","foreign exchange","cambiais"
"3137","user","usuário"
"3138","Internet","internet"
"3139","to notice","notar"
"3140","liquid","líquida"
"3141","landing","patamar"
"3142","us","us"
"3143","370","370"
"3144","billion","bilhões"
"3145","they reached","atingiram"
"3146","volumes","volumes"
"3147","records","recordes"
"3148","minors","menores"
"3149","levels","patamares"
"3150","experienced","vivenciados"
"3151","we generate","geramos"
"3152","5","5"
"3153","800","800"
"3154","thousand","mil"
"3155","submerged","submergia"
"3156","however","porém"
"3157","sober","sóbria"
"3158","Business","negócios"
"3159","activity","atividade"
"3160","innovation","inovação"
"3161","competitiveness","competitividade"
"3162","we will fight","combateremos"
"3163","truce","trégua"
"3164","bureaucracy","burocracia"
"3165","priority","prioritário"
"3166","maintenance","manutenção"
"3167","we will continue","continuaremos"
"3168","high","elevação"
"3169","sacrifice","sacrifício"
"3170","labor","trabalhistas"
"3171","social security","previdenciários"
"3172","sustainability","sustentabilidade"
"3173","require","exige"
"3174","equity","equidade"
"3175","correction","correção"
"3176","excesses","excessos"
"3177","false","falsa"
"3178","thesis","tese"
"3179","affirms","afirma"
"3180","exist","existir"
"3181","earnings","ganhos"
"3182","micro","micro"
"3183","entrepreneurs","empreendedores"
"3184","we improved","aprimoramos"
"3185","we universalize","universalizamos"
"3186","we expanded","ampliamos"
"3187","offer","oferta"
"3188","forward","encaminhar"
"3189","law","lei"
"3190","creating","criando"
"3191","mechanism","mecanismo"
"3192","categories","categorias"
"3193","regimes","regimes"
"3194","tributaries","tributários"
"3195","abyss","abismo"
"3196","tributary","tributário"
"3197","business","negócio"
"3198","we will devote","dedicaremos"
"3199","science","ciência"
"3200","stimulating","estimulando"
"3201","partnerships","parcerias"
"3202","centers","centros"
"3203","search","pesquisa"
"3204","universities","universidades"
"3205","competitive","competitivo"
"3206","born","nascendo"
"3207","massive","maciços"
"3208","logistics","logística"
"3209","2007","2007"
"3210","issues","edições"
"3211","acceleration","aceleração"
"3212","pac1","pac1"
"3213","pac2","pac2"
"3214","totaled","totalizaram"
"3215","close","cerca"
"3216","r","r"
"3217","1","1"
"3218","trillion","trilhão"
"3219","600","600"
"3220","kms","kms"
"3221","highways","rodovias"
"3222","railways","ferrovias"
"3223","construction","obras"
"3224","terminals","terminais"
"3225","waterways","hidroviários"
"3226","expansion","expansão"
"3227","network","rede"
"3228","streaming","transmissão"
"3229","connections","ligações"
"3230","light","luz"
"3231","demos","demos"
"3232","step","passo"
"3233","private","privado"
"3234","implementing","implementando"
"3235","awards","concessões"
"3236","accelerated","acelerou"
"3237","we ensure","asseguramos"
"3238","km","km"
"3239","highway","rodovia"
"3240","authorization","autorização"
"3241","private","privados"
"3242","pac","pac"
"3243","2015","2015"
"3244","we will start","iniciaremos"
"3245","combining","combinando"
"3246","private","privadas"
"3247","hone","aprimorar"
"3248","models","modelos"
"3249","regulation","regulação"
"3250","expand","expanda"
"3251","support","sustentação"
"3252","financing","financiamento"
"3253","figure","vulto"
"3254","desired","desejada"
"3255","transport","transporte"
"3256","progress","andamento"
"3257","143","143"
"3258","mobility","mobilidade"
"3259","I point out","assinalo"
"3260","band","banda"
"3261","long","larga"
"3262","2014","2014"
"3263","legislations","legislações"
"3264","I reiterate","reitero"
"3265","universalization","universalização"
"3266","cheap","barato"
"3267","fast","rápido"
"3268","safe","seguro"
"3269","reducing","reduzindo"
"3270","regional","regionais"
"3271","boosting","impulsionando"
"3272","cross","transversais"
"3273","structuring","estruturantes"
"3274","mitigate","mitigar"
"3275","impact","impacto"
"3276","prolonged","prolongada"
"3277","dry","seca"
"3278","semiarid","semiárido"
"3279","conclusion","conclusão"
"3280","transforming","transformadora"
"3281","water","hídricos"
"3282","perennial","perenizando"
"3283","1000","1000"
"3284","rivers","rios"
"3285","million","milhão"
"3286","cisterns","cisternas"
"3287","would","gostaria"
"3288","announce","anunciar"
"3289","motto","lema"
"3290","direct","direto"
"3291","mobilizer","mobilizador"
"3292","signal","sinaliza"
"3293","converge","convergir"
"3294","homeland","pátria"
"3295","educator","educadora"
"3296","treats","trata"
"3297","double","duplo"
"3298","we shout","bradarmos"
"3299","former","formador"
"3300","releases","liberta"
"3301","to universalize","universalizar"
"3302","nursery","creche"
"3303","postgraduate studies","pósgraduação"
"3304","take along","levar"
"3305","marginalized","marginalizados"
"3306","start to","começará"
"3307","expressive","expressivos"
"3308","originating","oriundos"
"3309","royalties","royalties"
"3310","bottom","fundo"
"3311","pre-salt","présal"
"3312","will add","somarão"
"3313","expanding","expandindo"
"3314","creches","creches"
"3315","preschools","préescolas"
"3316","ensuring","garantindo"
"3317","greeting","cumprimento"
"3318","2016","2016"
"3319","4","4"
"3320","pre school","préescola"
"3321","sequence","sequência"
"3322","age","idade"
"3323","certain","certa"
"3324","integral","integral"
"3325","effective","efetiva"
"3326","effect","efetivar"
"3327","curricular","curriculares"
"3328","fragile","frágil"
"3329","educational","educacional"
"3330","Pronatec","pronatec"
"3331","will offer","oferecerá"
"3332","2018","2018"
"3333","12","12"
"3334","vacancies","vagas"
"3335","workers","trabalhadoras"
"3336","apprentice","aprendiz"
"3337","will allow","permitirá"
"3338","to contract","contratarem"
"3339","Act","atuar"
"3340","establishment","estabelecimento"
