"","translatedText","text"
"424","enchanted amazon orixás bahia frevo pernambucano schools samba rio janeiro drums maranhão baroque miner architecture brasília sertaneja music","encantados  amazônia  orixás  bahia  frevo pernambucano  escolas  samba  rio  janeiro  tambores  maranhão  barroco mineiro  arquitetura  brasília  música sertaneja"
"425","extending arch multiplicity cultures paulo paraná santa catarina rio grande south region centrooeste","estendendo  arco   multiplicidade  culturas   paulo  paraná  santa catarina  rio grande  sul   região centrooeste"
"426","It's a nation that speaks the same language. It shares the same fundamental values. It's Brazilian.","é  nação  fala  mesma língua partilha  mesmos valores fundamentais  sente  é brasileira"
"427","where miscreation syncretism imposed giving original contribution world","onde  mestiçagem   sincretismo  impuseram dando  contribuição original  mundo"
"428","where Arab Jews talk fear","onde judeus  árabes conversam  medo"
"429","where all migration is welcome because we know little time own assimilation assimilation capacity each migrant transforms Brazilian","onde toda migração é bemvinda porque sabemos   pouco tempo   própria capacidade  assimilação   bemquerer cada migrante  transforma    brasileiro"
"430","nation created under tropical sky saying came internally doing justice fight survival children find externally engaged claiming sovereign creative presence world","nação   criou sob  céu tropical   dizer   veio internamente fazendo justiça  luta  sobrevivência    filhos  acham engajados externamente afirmando   presença soberana  criativa  mundo"
"431","foreign policy will reflect anxieties change expressed streets","política externa refletirá   anseios  mudança   expressaram  ruas"
"432","government diplomatic action brazil will be oriented humanistic perspective before all instrument national development","governo  ação diplomática  brasil estará orientada   perspectiva humanista   antes  tudo  instrumento  desenvolvimento nacional"
"433","media foreign trade training advanced technologies search productive investments external relations Brazil should contribute to improving conditions life woman man Brazilians raising income levels generating decent jobs","meio  comércio exterior  capacitação  tecnologias avançadas   busca  investimentos produtivos  relacionamento externo  brasil deverá contribuir   melhoria  condições  vida  mulher   homem brasileiros elevando  níveis  renda  gerando empregos dignos"
"434","trade negotiations today vitally important","negociações comerciais  hoje  importância vital"
"435","world trade association brazil will fight protectionism will fight will get fair rules adequate condition country development","relação  alca  entendimentos   mercosul   união européia  organização mundial  comércio  brasil combaterá  protecionismo lutará  eliminação  tratará  obter regras  justas  adequadas   condição  país  desenvolvimento"
"436","we will seek to eliminate scandalous agricultural subsidies developed countries harm producers depriving comparative advantages","buscaremos eliminar  escandalosos subsídios agrícolas  países desenvolvidos  prejudicam   produtores privando   vantagens comparativas"
"437","equal effort we will strive to remove unjustifiable obstacles exports industrial products","igual empenho esforçarnosemos  remover  injustificáveis obstáculos  exportações  produtos industriais"
"438","essential all forums is to preserve spaces flexibility policies development social fields regional agricultural environment technological industrial","essencial  todos  foros é preservar  espaços  flexibilidade   políticas  desenvolvimento  campos social  regional  meio ambiente agrícola industrial  tecnológico"
"439","will lose sight human being is the recipient last result negotiations","perderemos  vista   ser humano é  destinatário último  resultado  negociações"
"440","little will be worth participating in such a wide effort so many fronts of direct benefits to people","pouco valerá participarmos  esforço tão amplo   tantas frentes  daí  decorrerem benefícios diretos    povo"
"441","we will be attentive negotiations today day go beyond mere tariff reductions encompass broad regulatory spectrum create unacceptable restrictions sovereign right Brazilian people decide on model development","estaremos atentos     negociações  hoje  dia vão  além  meras reduções tarifárias  englobam  amplo espectro normativo  criem restrições inaceitáveis  direito soberano  povo brasileiro  decidir sobre  modelo  desenvolvimento"
"442","great priority foreign policy during government building south america politically stable prosperous united base democratic ideals social justice","grande prioridade  política externa durante   governo   construção   américa  sul politicamente estável próspera  unida  base  ideais democráticos   justiça social"
"443","it is essential action resolute revitalization mercosul weakened crises each members visions often narrow selfish meaning integration","é essencial  ação decidida  revitalização  mercosul enfraquecido  crises  cada    membros   visões muitas vezes estreitas  egoístas  significado  integração"
"444","mercosul so integration south america ensemble is mainly political project","mercosul assim   integração  américa  sul   conjunto é sobretudo  projeto político"
"445","project rests on economic and commercial foundations need to be urgently repaired reinforced","projeto repousa  alicerces econômicocomerciais  precisam ser urgentemente reparados  reforçados"
"446","social sciences","cuidaremos   dimensões social cultural  científicotecnológica  processo  integração"
"447","we will stimulate joint ventures we will promote alive artistic intellectual exchange South American countries","estimularemos empreendimentos conjuntos  fomentaremos  vivo intercâmbio intelectual  artístico   países sulamericanos"
"448","we will support necessary institutional arrangements to flourish true identity mercosul south america","apoiaremos  arranjos institucionais necessários   possa florescer  verdadeira identidade  mercosul   américa  sul"
"449","many neighbors today are experiencing difficult situations","vários   vizinhos vivem hoje situações difíceis"
"450","we will contribute from so-called measures possibilities to find peaceful solutions such crises base dialogue democratic precepts constitutional rules each country","contribuiremos desde  chamados   medida   possibilidades  encontrar soluções pacíficas  tais crises  base  diálogo  preceitos democráticos   normas constitucionais  cada país"
"451","commitment concrete cooperation substantive dialogues all countries latin america","empenho  cooperação concreta   diálogos substantivos   todos  países  américa latina"
"452","we will seek to have united states america mature partnership base mutual interest mutual respect","procuraremos ter   estados unidos  américa  parceria madura  base  interesse recíproco   respeito mútuo"
"453","we will try to strengthen understanding cooperation European Union member states well other important developed countries example japan","trataremos  fortalecer  entendimento   cooperação   união européia    estadosmembros bem   outros importantes países desenvolvidos  exemplo  japão"
"454","we will deepen relations great nations development china india russia africa south others","aprofundaremos  relações  grandes nações  desenvolvimento  china  índia  rússia  áfrica  sul  outras"
"455","we reaffirm deep ties unite every African continent willing to actively contribute to develop enormous potential","reafirmamos  laços profundos   unem  todo  continente africano    disposição  contribuir ativamente    desenvolva   enormes potencialidades"
"456","we aim to explore potential benefits greater economic exchange presence greater brazil international market stimulate nascent elements multipolarity contemporary international life","visamos    explorar  benefícios potenciais   maior intercâmbio econômico    presença maior  brasil  mercado internacional    estimular  incipientes elementos  multipolaridade  vida internacional contemporânea"
"457","democratization international relations hegemony any kind is as important future humanity as consolidation development internal democracy each state","democratização  relações internacionais  hegemonias  qualquer espécie é tão importante   futuro  humanidade quanto  consolidação   desenvolvimento  democracia  interior  cada estado"
"458","we will value multilateral organizations special nations united primacy preservation peace international security","vamos valorizar  organizações multilaterais  especial  nações unidas   cabe  primazia  preservação  paz   segurança internacionais"
"459","Security advice resolutions must be faithfully fulfilled","resoluções  conselho  segurança devem ser fielmente cumpridas"
"460","Middle East international crises must be resolved means peaceful negotiations","crises internacionais    oriente médio devem ser resolvidas  meios pacíficos   negociação"
"461","we will defend council security reform representative contemporary reality developed countries development various regions world permanent members","defenderemos  conselho  segurança reformado representativo  realidade contemporânea  países desenvolvidos   desenvolvimento  várias regiões  mundo    membros permanentes"
"462","we will face challenges current time terrorism organized crime valid international cooperation principles multilateralism international law","enfrentaremos  desafios  hora atual   terrorismo   crime organizado valendo  cooperação internacional   base  princípios  multilateralismo   direito internacional"
"463","we will support efforts to make agencies agile instruments effective promotion social development economic combat poverty inequalities all forms discrimination advocacy human rights preservation environment","apoiaremos  esforços  tornar  onu   agências instrumentos ágeis  eficazes  promoção  desenvolvimento social  econômico  combate  pobreza  desigualdades   todas  formas  discriminação  defesa  direitos humanos   preservação  meio ambiente"
"464","yes message give world put project democratically national dialogue open too nations planet because new novelty civilization drew fear because it drew body soul heart people many times oblivious elites institutions state","sim   mensagem  dar  mundo   colocar  projeto nacional democraticamente  diálogo aberto   demais nações  planeta porque    novo   novidade   civilização   desenhou  temor porque  desenhou  corpo  alma   coração  povo muitas vezes  revelia  elites  instituições     estado"
"465","it is true deterioration social ties brazil last two decades arising economic policies favored growth brought threatening cloud tolerant standard national culture","é verdade   deterioração  laços sociais  brasil  últimas duas décadas decorrente  políticas econômicas   favoreceram  crescimento trouxe  nuvem ameaçadora  padrão tolerante  cultura nacional"
"466","heinous crimes massacres lynching crisparam country have done everyday especially great cities experience next war all against all","crimes hediondos massacres  linchamentos crisparam  país  fizeram  cotidiano sobretudo  grandes cidades  experiência próxima  guerra  todos contra todos"
"467","home mandate firm decision put federal government partnership states service policy public safety vigorous efficient","inicio  mandato   firme decisão  colocar  governo federal  parceria   estados  serviço   política  segurança pública   vigorosa  eficiente"
"468","policy combined actions health education others capable prevent violence repress crime re-establish security citizens citizens","política  combinada  ações  saúde educação  outras  capaz  prevenir  violência reprimir  criminalidade  restabelecer  segurança  cidadãos  cidadãs"
"469","we can get back to walk peace streets streets we will give extraordinary impulse national project build in this corner america world bastion tolerance democratic pluralism conviviality respectful differences","conseguirmos voltar  andar  paz   ruas  praças daremos  extraordinário impulso  projeto nacional  construir neste rincão  américa  bastião mundial  tolerância  pluralismo democrático   convívio respeitoso   diferenças"
"470","Brazil can give itself world","brasil pode dar   si    mundo"
"471","we must demand the same","devemos exigir    mesmos"
"472","we must demand we think because we still express whole history because we still fulfill great planetary expectation","devemos exigir     pensamos porque ainda   expressamos  inteiro   história porque ainda  cumprimos  grande missão planetária   espera"
"473","Brazil in this new enterprise historical social cultural economic count above all I can think head walking own legs hear hear says heart","brasil nesta nova empreitada histórica social cultural  econômica   contar sobretudo consigo    pensar    cabeça andar    próprias pernas ouvir   diz   coração"
"474","We are all going to have to learn to love intensity even bigger country love flag love fight love people","todos vamos ter  aprender  amar  intensidade ainda maior   país amar   bandeira amar   luta amar   povo"
"475","every brazilian knows we did today little knows we can do","cada    brasileiros sabe    fizemos  hoje   pouco  sabe   podemos fazer"
"476","eye own life retired northeastern boy sold peanut orange quay saints became turning mechanic leader union day founded party workers believed doing now assumes supreme mandate representative nation I know all clarity all conviction we can","olho   própria vida  retirante nordestino  menino  vendia amendoim  laranja  cais  santos   tornou torneiro mecânico  líder sindical   dia fundou  partido  trabalhadores  acreditou    fazendo  agora assume  posto  supremo mandatário  nação vejo  sei  toda  clareza   toda  convicção   podemos"
"477","just believe s","basta acreditar   mesmos   força   capacidade  criar    disposição  fazer"
"478","beginning today new chapter history brazil nation submissive opening hand sovereignty nation unfairly watching passively suffering poor nation noble noble affirming boldly world nation all distinction class ethnicity sex belief","começando hoje  novo capítulo  história  brasil   nação submissa abrindo mão   soberania   nação injusta assistindo passivamente  sofrimento   pobres   nação altiva nobre afirmando corajosamente  mundo  nação  todos  distinção  classe etnia sexo  crença"
"479","is country can give will give true jump quality","é  país  pode dar  vai dar  verdadeiro salto  qualidade"
"480","is new country millennium agricultural power urban industrial structure fantastic biodiversity cultural wealth love nature creativity intellectual intellectual competence human warmth love new invention above all gifts powers people","é  país  novo milênio   potência agrícola   estrutura urbana  industrial   fantástica biodiversidade   riqueza cultural   amor  natureza   criatividade   competência intelectual  científica   calor humano   amor  novo   invenção  sobretudo  dons  poderes   povo"
"481","living in this moment companions brothers sisters all Brazil can be summarized few words today is day reunion brazil with you","vivendo hoje neste momento  companheiros   companheiras  irmãos   irmãs  todo  brasil pode ser resumido  poucas palavras hoje é  dia  reencontro  brasil consigo"
"482","Thank you god, I got to where I came from.","agradeço  deus  chegar  aonde cheguei"
"483","now public server country number","agora  servidor público número    país"
"484","I ask god wisdom govern discernment judge serenity manage courage decide heart size brazil feel united every citizen citizen of this country diadia next four years","peço  deus sabedoria  governar discernimento  julgar serenidade  administrar coragem  decidir   coração  tamanho  brasil   sentir unido  cada cidadão  cidadã deste país  diadia  próximos quatro anos"
"485","brazilian people","viva  povo brasileiro"
"486","Dear Brazilian Brazilians, it's a lot of emotion,","queridos brasileiros  brasileiras é  muita emoção   subo   parlatório  conversar  pouco"
"487","today is me deep day emotion","hoje é  mim  dia  profunda emoção"
"488","first because being president republic country I receive blessing god because I say always arrive where I arrived leaving where I left I can say there is superior being decides every destinies here","primeiro porque ser presidente  república   país  recebo    bênção  deus porque  digo sempre  chegar onde  cheguei saindo  onde  saí   posso dizer  existe  ser superior  decide  destinos  cada         aqui"
"489","here cause","aqui   causa"
"490","deep eternally grateful behavior Brazilian people in these four years mandate","profunda  eternamente grato  comportamento  povo brasileiro nesses quatro anos   mandato"
"491","difficult moments some imagined game finished people enter field said clearly we build democracy of this country we will sustain democracy of this country cost cost doa doer","momentos  difíceis  alguns imaginavam   jogo  acabado  povo entrava  campo  dizia claramente  construímos  democracia deste país   vamos sustentar  democracia deste país custe   custar doa   doer"
"492","deeply grateful fellowship josé alencar vice president republic","profundamente grato   convivência   companheiro josé alencar  vicepresidente  república"
"493","man opinion work made did we find although origins similar trilhou way trilhei other business life turned big businessman bigger country trilhei way union movement","homem    opinião   obra  deus fez     encontrássemos  embora  origens  semelhantes  trilhou  caminho   trilhei outro     vida empresarial   transformou  grande empresário   maiores   país   trilhei  caminho  movimento sindical"
"494","I turned out to be one of the most important people in Brazil. I was convinced that I was convinced that I was there.","conta     transformei  pessoa importante  política brasileira  quis deus   belo dia  encontrasse  josé alencar  belo horizonte ouvi  pronunciamento      ouvi falar  saí  lá convencido     encontrado  jeito  unificar capital  trabalho  presidência  república   vicepresidência  saí  lá convencido     conquistado   vice"
"495","deeply grateful loyalty fellow understanding man defense interests national interests brazilian","profundamente grato  lealdade  companheirismo   compreensão   homem   defesa  interesses nacionais  interesses brasileiros"
"496","deeply grateful understanding Dona Marisa Leticia in these four years together with me good bad moments","profundamente grato  compreensão  dona marisa letícia  nesses quatro anos  junto comigo  bons   maus momentos"
"497","certainly josé grateful donation mariza wife josé alencar because certainly difficult moments consolation conscience policy affirm keep fighting because only thing worth compensates is people continue fighting guarantee achievements people so suffered has been conquering long years","certamente josé alencar    gratos   dona mariza  esposa  josé alencar porque certamente  momentos difíceis    ombro  consolo   consciência política   afirmar continuem lutando porque  única coisa  vale  compensa é  gente continuar lutando  garantir  conquistas   povo tão sofrido vem conquistando  longo  anos"
"498","grateful, congressmen, congress, national, congressmen, senators, helped, radicalized, debate, things, nation, vote, voted, approved, all, government, sent, national, congress, certainly, national, plurality, democratic practice, conscience, people,","grato  companheiros  congresso nacional  deputados  senadores  ajudaram    debate político     radicalizado  atrapalhasse   coisas  interesse   nação  votadas  conseguimos aprovar praticamente tudo    governo mandou  congresso nacional  certamente  congresso nacional   pluralidade   prática democrática   ser  consciência  povo brasileiro  dia  eleições continuará ajudando    país continue dando certo  crescendo"
"499","I want to thank students, women, men, men of this country, helped consolidate democracy. They left the streets and conquered for many many years.","quero agradecer  trabalhadores  estudantes  mulheres   homens deste país     ajudaram  consolidar  democracia  saíram  ruas  conquistar   durante muitos  muitos anos  tentávamos conquistar   conseguíamos"
"500","remember union leader people difficulty entering national congress","lembro     dirigente sindical  gente   dificuldade  entrar  congresso nacional"
"501","in this palace think","neste palácio  pensar"
"502","today workers have conquered only right to make wage settlements better did before workers conquered increase minimum wage is higher last 30 years workers conquered right to enter this house house house because it may be different palace government be palace Brazilian people","hoje  trabalhadores conquistaram  apenas  direito  fazer acordos salariais melhores   faziam antes  trabalhadores conquistaram  aumento  salário mínimo  é  maior  últimos 30 anos  trabalhadores conquistaram  direito  entrar nesta casa    casa   casa  porque  pode ser diferente  palácio   governo   ser  palácio  povo brasileiro"
"503","feel proud because normally presidential palaces made certain kind people conception palace president republic need to receive queens need to receive kings need to receive princes need to receive businessmen small great middle need to receive deputies senators governors palace need to habituate from government receive live streets picking paper we play recycle do that hard work survival","sinto orgulho porque normalmente  palácios presidenciais  feitos   determinado tipo  gente    concepção  palácio  presidente  república precisa receber rainhas precisa receber reis precisa receber príncipes precisa receber empresários pequenos grandes  médios precisa receber deputados senadores governadores   palácio precisa  habituar  partir   governo  receber   vivem  ruas catando  papel   jogamos  reciclar  fazer desse trabalho penoso   sobrevivência  dignidade"
"504","palace must learn to receive marginalized minorities from this country","palácio precisa aprender  receber  minorias marginalizadas deste país"
"505","Palace needs to learn to receive black Indian women","palácio precisa aprender  receber  negros  índios  mulheres"
"506","The palace needs to learn to receive many times they can get past the palace as soon as they enter it","palácio precisa aprender  receber   muitas vezes  conseguem  passar perto  palácio quanto  entrar nele"
"507","we do because we want to consolidate brazilian democracy in such a way healthy productive relationship society attending national conferences listening to people because it is popular wisdom ruler learns to err less correct I will continue to govern this way listening every time because I learned divine wisdom God made people mouth speak less two ears listen lack a little politics national","fazemos  porque queremos consolidar  democracia brasileira  tal forma  relação sadia  produtiva   sociedade participando  conferências nacionais ouvindo  povo porque é   sabedoria popular   governante aprende  errar menos   acertar   vou continuar governando desse jeito ouvindo cada vez  porque  aprendi    sabedoria divina deus fez  gente   boca  falar menos  dois ouvidos  escutar    falta  pouco  política nacional"
"508","end fellow mates allow them to treat them so I mean four years ahead four years hard time compensators first four","fim  companheiros  companheiras   permitem tratálos assim  quero dizer     quatro anos    frente  quatro anos  compensadores    tempo  difíceis    primeiros quatro"
"509","notion means things we did notion we did","noção   significa  coisas   fizemos  noção   fizemos"
"510","time notion in front of people needs before decades decades social debt people do we need less people need to become brazil country fair equanimity where all people can conquer citizenship full right work study have access culture leisure take breakfast lunch take dinner take vacation take care family","tempo  noção  diante  necessidades  povo  diante  quantidade  décadas  décadas  dívida social   povo brasileiro  fazendo   fizemos  menos     precisa ser feito    gente possa tornar  brasil  país  justo  equânime onde todas  pessoas possam conquistar  cidadania plena   direito  trabalhar  estudar  ter acesso  cultura  lazer  tomar café  manhã almoçar jantar tirar férias  cuidar   família"
"511","be sure children will study school quality children poor people of this country have dream have same university access rich son of this country because it is so people will build strong democracy strong democracy","ter  certeza     filhos vão estudar  escola  qualidade    filhos  pessoas  pobres deste país têm  sonhar  ter acesso  mesma universidade  filho   rico deste país porque é assim   gente vai construir  democracia forte  democracia sólida"
"512","I want to thank everyone","quero agradecer  todos"
"513","I always say something I learned to respect long 30 years of life political relation people","digo sempre     coisa   aprendi  respeitar  longo desses 30 anos  vida política   relação   povo"
"514","Policy Fooled Many Times","política   enganado muitas vezes"
"515","people often see people close people disappear","muitas vezes  gente vê  pessoas próximas  gente desaparecerem"
"516","now in this relationship Brazilian people since the beginning of the union movement 1969 no time difficult history people lacked solidarity companionship assuming times task make conditions do","agora nessa  relação   povo brasileiro desde   comecei  movimento sindical  1969  nenhum momento difícil   história  povo  faltou   solidariedade   companheirismo assumindo  vezes  tarefa  fazer      condições  fazer"
"517","I mean next four years four years work","quero dizer     próximos quatro anos  quatro anos   trabalho"
"518","let's work we work first because we know the ways we know where things are stones often get stuck","vamos trabalhar    trabalhamos  primeiro porque  conhecemos  caminhos  pedras  conhecemos onde é   coisas muitas vezes emperram"
"519","we know Brazilian economy needs to grow generate jobs distribution income we know we need to unlock country can grow can generate quantity jobs formal jobs wallet signed because then yes Brazilian worker will be qualified living little better","sabemos   economia brasileira precisa crescer gerar empregos  distribuição  renda sabemos  precisamos destravar  país    possa crescer    possa gerar  quantidade  empregos  empregos formais  carteira assinada porque aí sim  trabalhador brasileiro vai estar  qualificado  vivendo  pouco melhor"
"520","I want to thank guests here.","quero agradecer   convidados   aqui"
"521","a lot of important people seeing from here a lot of people came on this rainy Monday prestige ownership lamentably people managed to change is still 1º day January could be Friday people make really great party","muita gente importante   vendo daqui muita gente  veio nesta segundafeira chuvosa prestigiar  posse  lamentavelmente  gente  conseguiu mudar  continua sendo  dia 1º  janeiro  poderia ser  sextafeira   gente fazer realmente  grande festa"
"522","I want to look at every man every woman I want to give each person every person we can give each person we can give each person we can give people people can strengthen democracy democracy country people can guarantee poor people people respect respect decency should have been treated time why so poor Brazil","quero olhar  cara  cada homem   cada mulher  dizer      companheiro josé alencar   necessário daremos   vida    gente possa cumprir cada palavra  cada compromisso  assumimos      gente possa fortalecer  democracia   país    gente possa garantir   parte  pobre  população  tratada   respeito    decência  deveria ter sido tratada   tempo porque  assim       quantidade  pobres    brasil"
"523","I mean president all distinction religious creed distinction ideological commitments","quero dizer     presidente  todos  distinção  credo religioso  distinção  compromissos ideológicos"
"524","president all concern social origin each","presidente  todos   preocupar   origem social  cada"
"525","deceive being president all will continue doing do mother will take care of those in need first of those weakened of those who need Brazilian state","enganem  sendo presidente  todos  continuarei fazendo   faz  mãe  cuidarei primeiro daqueles  necessitados daqueles  fragilizados daqueles   precisam  estado brasileiro"
"526","companions comrades I will stop here saying - because I will go down there give hug - month we will launch proposals proposals development of this country","companheiros  companheiras  vou parar  aqui dizendo   – porque   vou descer aí  dar  abraço   –    mês  lançaremos  pacote  propostas   desenvolvimento deste país"
"527","discussed businessmen workers want to make workers want to make brazil create moment trust optimism","discutido  empresários   trabalhadores   queremos fazer   trabalhadores   queremos fazer    brasil crie  momento  confiança   otimismo"
"528","bet flop Brazil defeated","apostarem  fracasso  brasil  derrotados"
"529","believe country was born to be country growth inhibited to be eternal small growth country can start to prepare because country will have vigorous growth","acreditarem   país nasceu  ser  país  crescimento inibido  ser  país  eterno pequeno crescimento podem começar   preparar porque  país vai ter  crescimento vigoroso"
"530","growth another era country grew people continued poor country grew distributed result of this growth","crescimento    outra época    país crescia   povo continuava pobre  país crescia    distribuía  resultado desse crescimento"
"531","have awareness country needs grow grow concomitant growth economy growth growth industry growth is growth improvement quality life children young women","ter consciência    país precisa crescer    precisa crescer  concomitante   crescimento  economia   crescimento  indústria   crescimento  agricultura é  crescimento  melhoria  qualidade  vida   crianças   mulheres   jovens"
"532","it is growth opportunity education quality is growth distribution income people can live dignity live better care family","é  crescimento  oportunidade   educação  qualidade é  crescimento   distribuição  renda    povo possa viver   dignidade viver melhor  cuidar   família"
"533","convinced happened happened last January it is result process degradation structure Brazilian society known know loss values know need to be resolved from home because it is necessary family brazil foundation foundation of this thriving society we want to create","convencido     aconteceu  rio  janeiro  semana passada é resultado   processo  degradação  estrutura  sociedade brasileira causada  sabe  perda  valores  sabe  problemas  precisam ser resolvidos  partir  dentro   casa porque é preciso   família brasileira   base  alicerce dessa sociedade pujante   queremos criar"
"534","inside family disaggregation father mother understand father son understand everything will get difficult police will solve","dentro  família  desagregação  pai  mãe   entenderem  filho  pai   entenderem tudo vai ficar  difícil     polícia  vai resolver"
"535","will resolve is every return eyes happened river January being blamed government state being blamed president republic mayor city why happening is result historical mistakes accumulated entire Brazilian society need society assume responsibility help states municipalities federal government find final solution","vai resolver é cada    voltar   olhos    aconteceu  rio  janeiro   ficar culpando  governo  estado  ficar culpando  presidente  república   prefeito  cidade porque    acontecendo é resultado  erros históricos acumulados  toda  sociedade brasileira  precisa   sociedade   todo assumir  responsabilidade  ajudar  estados  municípios   governo federal  encontrar  solução definitiva"
"536","I believe Brazil, no soul can compromise the barbarity done by some bastards.","creio    brasil nenhuma alma  possa compactuar   barbaridade   feita  alguns facínoras"
"537","I want to say I want to take advantage because I know governor Sergio Cabral here I want to speak governors other states I will discuss minister justice because barbarity happened rio janeiro can be treated common crime","queria dizer    quero aproveitar porque  sei   governador sérgio cabral  aqui   quero falar   governadores  outros estados  vou discutir    ministro  justiça porque  barbaridade  aconteceu  rio  janeiro  pode ser tratada  crime comum"
"538","it is terrorism being fought strong policy strong hand Brazilian state","é terrorismo    ser combatido   política forte    mão forte  estado brasileiro"
"539","extrapolated conventional banditry we knew","aí  extrapolou  banditismo convencional   conhecíamos"
"540","group bosses inside chain can give orders do barbarity of those killing innocent I mean government state governments we need to discuss deeply because happened rio January practice terrorist violent seen in this country such being fought","grupo  chefes  dentro  cadeia consegue dar ordens  fazer  barbaridade daquelas matando inocentes  quero dizer   governo   governos estaduais  precisamos discutir profundamente porque   aconteceu  rio  janeiro   prática terrorista   violentas    visto neste país   tal   ser combatida"
"541","thing we need to ensure is right free honest men men workers leave home morning come home late family livelihood","coisa   precisamos garantir é  direito  homens livres  honestos homens trabalhadores saírem  casa  manhã  voltarem  casa  tarde   sustento   família"
"542","we can continue allowing caring in every home caring in every city every state is task is man is party is every nation all states all cities","podemos continuar permitindo  inquietação dentro  cada casa  inquietação dentro  cada cidade   cada estado   é  tarefa   é   homem   é   partido é  toda  nação  todos  estados   todas  cidades"
"543","sure four years optimism in this country growth","certeza     quatro anos   otimismo neste país   crescimento"
"544","name name josé alencar marisa mariza josé alencar name government name ministers name people brazilian people want to say thank god they have understanding have because they can help country give jump quality country needs","nome  nome  josé alencar   marisa   mariza  josé alencar  nome   governo  nome   ministros  nome  povo brasileiro  quero   vez dizer obrigado  deus   existirem  terem  compreensão   têm porque   podem ajudar  país  dar  salto  qualidade    país precisa"
"545","thank you","obrigado"
"546","happy new year tomorrow is day say loud good sound lets man work but country grow grow need grow","feliz ano novo  amanhã é dia   dizermos  alto  bom som deixa  homem trabalhar senão  país  cresce  precisa crescer"
"547","hug","abraço"
"548","",""
"549","beloved brazilian beloved vice president michel temer lady marcela here assuming presidency vice presidency brazil","queridas brasileiras queridos brasileiros       vicepresidente michel temer   senhora marcela  aqui assumindo  presidência   vicepresidência  brasil"
"550","happy rare opportunity life history gave it be first woman govern brazil","feliz  raras vezes    vida  oportunidade   história  deu  ser  primeira mulher  governar  brasil"
"551","excited closure mandate greatest popular country leader","emocionada  encerramento  mandato  maior líder popular   país"
"552","to have honor, to have privilege, to live together, to have learned immense wisdom,","ter  honra   apoio ter  privilégio   convivência ter aprendido   imensa sabedoria  coisas   guardam   vida toda"
"553","to live all years president lula gave dimension ruler fair leader passionate country people","conviver todos  anos   presidente lula  deu  dimensão  governante justo   líder apaixonado   país    gente"
"554","joy feel ownership president mix emotion farewell","alegria  sinto   posse  presidenta  mistura   emoção   despedida"
"555","Lula will be with us","lula estará conosco"
"556","I do not know how much man","sei   distância   cargo nada significa   homem  tamanha grandeza  generosidade"
"557","task to succeed lula president is challenging","tarefa  suceder  presidente lula é desafiadora"
"558","I will know how to honor the legacy","saberei honrar  legado  saberei consolidar  avançar nesta obra  transformação  brasil"
"559","will change people led worker brazil presidency","vontade  mudança   povo levou  operário  presidência  brasil"
"560","effort effort dedication name engraved heart people place sacred nation","esforço  esforço  dedicação   nome   gravados  coração  povo  lugar  sagrado   nação"
"561","today president lula leaves government eight years period led important transformations life country","hoje  presidente lula deixa  governo   oito anos período   liderou   importantes transformações  vida  país"
"562","strength of these transformations allowed brazilian people new daring to put woman presidency first time brazil","força dessas transformações permitiu    povo brasileiro   nova ousadia colocar  primeira vez  mulher  presidência  brasil"
"563","beyond appreciation woman improves society values democracy","além   pessoa  valorização  mulher melhora  sociedade  valoriza   democracia"
"564","I want at this moment to pay tribute to another great Brazilian tireless fighter companion side side president lula in those eight years","quero neste momento prestar  homenagem  outro grande brasileiro incansável lutador companheiro     lado  lado  presidente lula nesses oito anos"
"565","I refer to my beloved Vice President José Alencar","refiro   querido vicepresidente josé alencar"
"566","example courage love life gives great man partnership zé alencar lula lula zé alencar made brasil people michel temer felt responsible follow path started","exemplo  coragem   amor  vida  dá  grande homem   parceria zé alencar  lula lula  zé alencar fizeram  brasil    povo      michel temer  sentimos responsáveis  seguir  caminho iniciado"
"567","we learn governs thinking public interest needed immense strength sprouts country","aprendemos      governa pensando  interesse público    necessitados  imensa força brota   país"
"568","we learn governs loving brazil preserving sovereignty developing country make it so big dream every brazilian every Brazilian immense force is mobilized we all move forward together","aprendemos    governa amando  brasil preservando   soberania  desenvolvendo   país  tornálo  tamanho  sonho  cada brasileira  cada brasileiro  força imensa é mobilizada  todos  avançamos juntos"
"569","I reaffirm another commitment here, I will take care of fragile cares in need","reafirmo aqui outro compromisso cuidarei   carinho   frágeis   necessitados"
"570","I will rule all of Brazilians.","governarei  todos  todas  brasileiras"
"571","Important Indian woman leader said day can exchange hand grip handles closed","mulher  importante líder indiana disse  dia    pode trocar  aperto  mão   punhos fechados"
"572","because I say hands will be open extended all since allies first hour accompanied in this electoral process","pois  digo  mãos vão estar abertas  estendidas  todos desde   aliados  primeira hora      acompanharam neste processo eleitoral"
"573","it's spirit","é   espírito  união   assumo hoje  governo   país"
"574","I believe I will work all together needed changes education health security especially struggle end poverty poverty","acredito  trabalharei    todos unidos  mudanças necessárias  educação  saúde  segurança  sobretudo  luta  acabar   pobreza   miséria"
"575","I ask nobody to abdicate convictions","peço  ninguém  abdique   convicções"
"576","I will seek support","buscarei  apoio respeitarei  crítica"
"577","It's Civilized Clash Ideas Moves Great Democracies","é  embate civilizado   ideias  move  grandes democracias"
"578","I carry no resentment today no rancor species","carrego hoje nenhum ressentimento  nenhuma espécie  rancor"
"579","generation came politics seek freedom time darkness fear","geração veio   política  busca  liberdade  tempo  escuridão  medo"
